geography_type,geography_code,geography_name,parent_geography,clock_basis,observation_count,mean_demand_mw,minimum_demand_mw,minimum_time_end,peak_demand_mw,peak_time_end,load_factor_mean_divided_by_peak,maximum_one_hour_increase_mw,maximum_one_hour_increase_time_end,maximum_one_hour_decrease_mw,maximum_one_hour_decrease_time_end,unit,source_id
balancing_authority,TIDC,TIDC,CAL,UTC,8784,334.909,0.0,2024-03-10T10:00,714.0,2024-07-12T01:00,0.46906,273.0,2024-04-11T08:00,-305.0,2024-04-11T00:00,MW,SRC-EIA-930
balancing_authority,TPWR,TPWR,NW,UTC,8784,518.838,313.0,2024-06-24T11:00,984.0,2024-01-13T02:00,0.527275,83.0,2024-03-14T14:00,-64.0,2024-07-10T07:00,MW,SRC-EIA-930
balancing_authority,TVA,TVA,TEN,UTC,8784,18820.249,12087.0,2024-03-31T09:00,34351.0,2024-01-17T14:00,0.547881,2491.0,2024-07-13T15:00,-2304.0,2024-02-01T16:00,MW,SRC-EIA-930
balancing_authority,WACM,WACM,NW,UTC,8784,3864.621,388.0,2024-08-01T05:00,5870.0,2024-08-03T00:00,0.658368,3841.0,2024-08-01T06:00,-4330.0,2024-08-01T04:00,MW,SRC-EIA-930
balancing_authority,WALC,WALC,SW,UTC,8784,967.167,22.0,2024-12-25T11:00,2070.0,2024-10-10T01:00,0.46723,963.0,2024-10-10T01:00,-865.0,2024-10-10T02:00,MW,SRC-EIA-930
balancing_authority,WAUW,WAUW,NW,UTC,8784,91.509,45.0,2024-09-17T11:00,164.0,2024-07-24T22:00,0.557982,67.0,2024-07-16T18:00,-65.0,2024-07-16T17:00,MW,SRC-EIA-930
eia_930_reporting_footprint,EIA930-US,EIA-930 reporting footprint,United States,UTC,8756,478055.928,339780.0,2024-04-14T09:00,745020.0,2024-07-15T22:00,0.641669,38570.0,2024-07-14T16:00,-41550.0,2024-08-01T04:00,MW,SRC-EIA-930
eia_region,CAL,CAL,United States,UTC,8760,30922.135,18941.0,2024-05-06T00:00,58867.0,2024-09-06T02:00,0.525288,4825.0,2024-09-09T17:00,-4344.0,2024-09-10T07:00,MW,SRC-EIA-930
eia_region,CAR,CAR,United States,UTC,8784,25696.765,15571.0,2024-09-28T09:00,44816.0,2024-01-22T13:00,0.573384,3247.0,2024-01-30T12:00,-4360.0,2024-01-22T16:00,MW,SRC-EIA-930
eia_region,CENT,CENT,United States,UTC,8784,33041.426,23829.0,2024-04-29T09:00,54279.0,2024-07-15T22:00,0.608733,7964.0,2024-07-19T06:00,-12214.0,2024-07-19T05:00,MW,SRC-EIA-930
eia_region,FLA,FLA,United States,UTC,8783,30269.195,15653.0,2024-03-10T00:00,52426.0,2024-08-13T22:00,0.57737,19206.0,2024-02-01T05:00,-22205.0,2024-02-01T06:00,MW,SRC-EIA-930
eia_region,MIDA,MIDA,United States,UTC,8783,92788.048,56260.0,2024-11-21T17:00,153121.0,2024-07-16T22:00,0.605979,39222.0,2024-11-21T18:00,-38552.0,2024-11-21T17:00,MW,SRC-EIA-930
eia_region,MIDW,MIDW,United States,UTC,8783,80369.517,57300.0,2024-04-14T10:00,129798.0,2024-08-26T22:00,0.619189,7065.0,2024-08-04T16:00,-7208.0,2024-08-27T04:00,MW,SRC-EIA-930
eia_region,NE,NE,United States,UTC,8784,13026.891,7392.0,2024-04-27T16:00,24255.0,2024-07-16T23:00,0.537081,2563.0,2024-04-08T20:00,-1825.0,2024-06-27T03:00,MW,SRC-EIA-930
eia_region,NW,NW,United States,UTC,8783,42212.164,30409.0,2024-09-22T11:00,64852.0,2024-08-02T01:00,0.6509,5027.0,2024-08-29T16:00,-6469.0,2024-08-01T04:00,MW,SRC-EIA-930
eia_region,NY,NY,United States,UTC,8784,17176.726,0.0,2024-01-18T00:00,28990.0,2024-07-08T22:00,0.592505,22452.0,2024-01-18T01:00,-22718.0,2024-01-18T00:00,MW,SRC-EIA-930
eia_region,SE,SE,United States,UTC,8784,27252.294,17007.0,2024-09-28T10:00,47368.0,2024-01-17T13:00,0.575331,3326.0,2024-07-14T16:00,-3087.0,2024-08-18T00:00,MW,SRC-EIA-930
eia_region,SW,SW,United States,UTC,8784,13500.734,8560.0,2024-04-06T22:00,25469.0,2024-08-05T00:00,0.530085,6004.0,2024-05-14T20:00,-5640.0,2024-03-07T18:00,MW,SRC-EIA-930
eia_region,TEN,TEN,United States,UTC,8784,18820.249,12087.0,2024-03-31T09:00,34351.0,2024-01-17T14:00,0.547881,2491.0,2024-07-13T15:00,-2304.0,2024-02-01T16:00,MW,SRC-EIA-930
eia_region,TEX,TEX,United States,UTC,8784,52779.794,36190.0,2024-03-24T10:00,85544.0,2024-08-20T23:00,0.61699,5487.0,2024-08-07T17:00,-4730.0,2024-08-08T05:00,MW,SRC-EIA-930
subregion,CISO:PGAE,CISO:PGAE,CISO,UTC,8736,11246.844,5907.0,2024-03-17T23:00,21155.0,2024-07-12T04:00,0.53164,1518.0,2024-02-26T02:00,-1670.0,2024-02-09T20:00,MW,SRC-EIA-930
subregion,CISO:SCE,CISO:SCE,CISO,UTC,8736,12082.646,7269.0,2024-04-08T00:00,25566.0,2024-09-07T01:00,0.472606,3428.0,2024-09-04T17:00,-2634.0,2024-12-26T01:00,MW,SRC-EIA-930
subregion,CISO:SDGE,CISO:SDGE,CISO,UTC,8736,2089.757,522.0,2024-05-18T22:00,4798.0,2024-09-09T03:00,0.435547,733.0,2024-08-12T00:00,-773.0,2024-05-09T20:00,MW,SRC-EIA-930
subregion,CISO:VEA,CISO:VEA,CISO,UTC,8736,92.844,0.0,2024-01-25T21:00,250.0,2024-08-09T19:00,0.371375,179.0,2024-02-09T03:00,-149.0,2024-11-23T03:00,MW,SRC-EIA-930
subregion,ERCO:COAS,ERCO:COAS,ERCO,UTC,8784,13750.968,4935.0,2024-07-08T17:00,23100.0,2024-08-21T22:00,0.59528,1576.0,2024-09-21T15:00,-2347.0,2024-05-17T01:00,MW,SRC-EIA-930
subregion,ERCO:EAST,ERCO:EAST,ERCO,UTC,8784,1825.139,863.0,2024-01-23T09:00,3518.0,2024-01-16T15:00,0.5188,920.0,2024-02-12T19:00,-1013.0,2024-02-12T17:00,MW,SRC-EIA-930
subregion,ERCO:FWES,ERCO:FWES,ERCO,UTC,8778,6777.68,4777.0,2024-01-15T18:00,8463.0,2024-12-31T16:00,0.80086,1144.0,2024-11-11T15:00,-838.0,2024-09-02T21:00,MW,SRC-EIA-930
subregion,ERCO:NCEN,ERCO:NCEN,ERCO,UTC,8779,14798.017,8797.0,2024-03-21T09:00,27959.0,2024-08-19T23:00,0.529276,2398.0,2024-01-12T13:00,-2143.0,2024-08-24T01:00,MW,SRC-EIA-930
subregion,ERCO:NRTH,ERCO:NRTH,ERCO,UTC,8782,1668.303,1024.0,2024-04-24T13:00,2644.0,2024-08-01T01:00,0.630977,441.0,2024-11-25T15:00,-437.0,2024-10-08T00:00,MW,SRC-EIA-930
subregion,ERCO:SCEN,ERCO:SCEN,ERCO,UTC,8784,8540.196,5074.0,2024-03-11T09:00,15564.0,2024-08-21T23:00,0.548715,1160.0,2024-08-21T17:00,-1128.0,2024-05-10T03:00,MW,SRC-EIA-930
subregion,ERCO:SOUT,ERCO:SOUT,ERCO,UTC,8784,4168.463,2476.0,2024-02-04T09:00,6924.0,2024-01-16T16:00,0.602031,559.0,2024-05-15T17:00,-527.0,2024-07-07T01:00,MW,SRC-EIA-930
subregion,ERCO:WEST,ERCO:WEST,ERCO,UTC,8784,1349.718,660.0,2024-10-19T10:00,2476.0,2024-01-15T15:00,0.54512,427.0,2024-12-10T05:00,-313.0,2024-12-10T02:00,MW,SRC-EIA-930
subregion,ISNE:4001,ISNE:4001,ISNE,UTC,8784,1252.627,812.0,2024-04-05T08:00,1955.0,2024-07-15T23:00,0.64073,183.0,2024-12-19T12:00,-172.0,2024-03-24T02:00,MW,SRC-EIA-930
subregion,ISNE:4002,ISNE:4002,ISNE,UTC,8784,1295.328,824.0,2024-05-19T08:00,2439.0,2024-07-16T22:00,0.53109,168.0,2024-02-14T12:00,-227.0,2024-07-17T01:00,MW,SRC-EIA-930
subregion,ISNE:4003,ISNE:4003,ISNE,UTC,8784,544.305,123.0,2024-04-27T17:00,910.0,2024-12-23T16:00,0.598137,235.0,2024-04-08T20:00,-169.0,2024-02-06T15:00,MW,SRC-EIA-930
subregion,ISNE:4004,ISNE:4004,ISNE,UTC,8784,3040.68,1906.0,2024-05-05T08:00,6002.0,2024-07-15T21:00,0.506611,429.0,2024-04-08T20:00,-652.0,2024-06-27T03:00,MW,SRC-EIA-930
