Annual mean global surface dry-air mole fractions derived from NOAA/GML measurements and historical records,,,,,,,,,,,,,,,,,,,,,,
,Used to derive radiative forcing and the AGGI for 2025,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HCFC-22,CFC-113,CFC-11,HCFC-141b,CCl4,CFC-12,HCFC-142b,CH3CCl3,H-1211,H-1301,H-2402,HFC-134a,HFC-152a,HFC-143a,HFC-125,HFC-365mfc,HFC-227ea,HFC-23,SF6
,ppm,ppb,ppb,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt
1996.5,361.9,1751.3,311.4,121.5,83.9,265.2,5.41,104.0,529.7,7.7,92.4,3.61,2.62,0.47,3.04,0.82,1.06,0.39,nd,nd,11.37,3.70
1997.5,363.1,1754.5,312.4,126.1,83.5,264.1,7.36,103.1,533.7,8.7,78.7,3.77,2.63,0.47,5.19,0.96,1.35,0.56,nd,nd,12.02,3.96
1998.5,365.7,1765.5,313.3,131.4,82.9,262.5,9.07,102.2,536.6,9.6,65.9,3.89,2.70,0.48,7.64,1.13,1.69,0.78,nd,nd,12.62,4.19
1999.5,367.8,1772.4,314.3,136.7,82.5,261.2,10.91,101.1,539.4,10.7,54.9,4.01,2.78,0.49,10.64,1.34,2.07,1.07,nd,nd,13.25,4.38
2000.5,369.0,1773.3,315.5,141.5,82.0,259.4,12.62,99.8,541.6,11.7,45.8,4.11,2.81,0.49,13.94,1.57,2.48,1.41,nd,nd,13.94,4.58
2001.5,370.6,1771.3,316.2,147.4,81.5,257.6,14.10,98.7,542.4,12.6,38.0,4.18,2.80,0.49,17.48,1.82,2.91,1.80,nd,0.01,14.64,4.79
2002.5,372.6,1772.7,316.9,152.9,80.9,255.8,15.45,97.6,543.2,13.3,31.7,4.23,2.82,0.49,21.35,2.18,3.42,2.24,0.03,0.06,15.32,5.00
2003.5,375.2,1777.3,317.5,157.9,80.1,253.3,16.58,96.5,542.8,14.0,26.5,4.27,2.85,0.49,25.50,2.59,4.04,2.75,0.06,0.13,15.97,5.23
2004.5,377.0,1777.1,318.1,162.1,79.4,251.3,17.19,95.5,542.4,14.5,22.0,4.30,2.99,0.48,29.65,3.00,4.76,3.29,0.13,0.20,16.67,5.45
2005.5,379.0,1774.2,318.9,168.2,78.8,249.3,17.56,94.5,541.5,15.2,18.4,4.31,3.02,0.48,34.41,3.63,5.59,3.86,0.20,0.27,17.45,5.67
2006.5,381.1,1775.0,319.9,174.8,78.2,247.2,18.09,93.3,540.1,16.1,15.4,4.30,3.05,0.48,38.82,4.23,6.53,4.49,0.28,0.34,18.39,5.91
2007.5,382.9,1781.4,320.5,182.8,77.3,245.0,18.75,92.2,537.9,17.3,12.9,4.26,3.08,0.47,43.24,4.93,7.51,5.43,0.35,0.41,19.72,6.18
2008.5,385.0,1787.0,321.4,190.8,76.5,242.9,19.26,90.7,535.5,18.5,10.8,4.20,3.12,0.47,47.60,5.57,8.65,6.45,0.42,0.48,21.89,6.47
2009.5,386.5,1793.5,322.2,198.4,75.9,241.1,19.84,89.3,533.0,19.4,9.1,4.13,3.13,0.46,52.24,5.84,9.80,7.55,0.46,0.57,22.58,6.75
2010.5,388.8,1798.9,323.1,205.8,75.3,239.3,20.41,88.4,529.4,20.1,7.6,4.07,3.17,0.46,57.28,6.04,10.85,8.75,0.50,0.64,23.22,7.04
2011.5,390.6,1803.1,324.2,212.6,74.6,237.2,21.33,87.0,526.7,20.9,6.3,4.00,3.18,0.45,62.65,6.47,12.05,10.24,0.55,0.72,24.06,7.32
2012.5,392.7,1808.1,325.0,218.0,73.9,235.2,22.27,85.9,524.1,21.4,5.3,3.92,3.21,0.45,67.51,6.65,13.34,11.85,0.61,0.80,24.94,7.61
2013.5,395.4,1813.4,325.9,223.6,73.2,233.5,23.24,84.8,520.7,21.8,4.4,3.81,3.25,0.44,72.47,6.65,14.67,13.73,0.67,0.88,25.98,7.92
2014.5,397.3,1822.6,327.0,228.7,72.6,232.2,23.79,83.7,518.1,21.9,3.7,3.71,3.26,0.43,77.71,6.46,16.01,15.66,0.72,0.98,27.06,8.26
2015.5,399.7,1834.2,328.1,233.0,72.0,231.0,24.22,82.4,515.2,21.8,3.1,3.61,3.27,0.43,83.35,6.56,17.58,17.88,0.79,1.07,28.08,8.59
2016.5,403.1,1843.1,328.9,237.4,71.5,230.0,24.53,81.3,512.1,22.0,2.6,3.51,3.28,0.42,89.51,6.61,19.08,20.29,0.87,1.17,28.92,8.92
2017.5,405.2,1849.7,329.8,240.8,70.8,229.0,24.50,80.3,508.5,22.1,2.2,3.41,3.28,0.41,95.73,6.77,20.72,23.10,0.92,1.29,29.93,9.26
2018.5,407.6,1857.3,330.9,244.1,70.3,228.2,24.37,79.2,505.6,22.0,1.9,3.31,3.29,0.41,101.96,6.94,22.33,26.00,0.97,1.42,31.17,9.61
2019.5,410.1,1866.6,331.9,246.8,69.6,226.5,24.38,78.3,501.3,22.0,1.6,3.22,3.29,0.40,107.77,7.12,23.93,29.13,1.01,1.56,32.48,9.95
2020.5,412.4,1878.7,333.1,247.8,69.0,224.0,24.50,77.0,497.2,21.7,1.4,3.11,3.28,0.40,113.08,6.99,25.38,32.39,1.02,1.70,33.73,10.28
2021.5,414.7,1894.7,334.3,248.8,68.3,221.7,24.61,75.8,493.3,21.5,1.2,3.03,3.29,0.40,118.90,7.19,27.05,35.71,1.05,1.87,34.92,10.65
2022.5,417.1,1910.9,335.6,248.8,67.8,219.5,24.61,74.7,489.6,21.2,1.1,2.93,3.29,0.40,124.48,7.34,29.04,39.68,1.07,2.04,35.85,11.04
2023.5,419.4,1921.6,336.7,247.5,67.2,217.1,24.52,73.8,485.4,21.0,1.0,2.84,3.29,0.40,129.48,7.35,30.70,43.52,1.07,2.20,36.78,11.42
2024.5,422.8,1930.0,337.8,245.3,66.6,214.5,24.42,73.0,481.5,20.7,0.9,2.75,3.28,0.39,134.70,7.72,32.44,47.58,1.03,2.39,37.71,11.83
,,,,,,,,,,,,,,,,,,,,,,
all results are based on most recent NOAA scales except for HFC-23,,,,,,,,,,,,,,,,,,,,,,
"units on given mole fraction are indicated in row below chemical name, where ppm = parts per million, ppb = parts per billion, and ppt = parts per trillion",,,,,,,,,,,,,,,,,,,,,,
"HFC-23 results after 2007 are from AGAGE (update to Prinn et al., 2018)",,,,,,,,,,,,,,,,,,,,,,
"* nd indicates ""not determined""",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Data underpinning these annual means can be found at these reference locations and dois:,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
For CO2:,,,,,,,,,,,,,,,,,,,,,,
