dataset_id,source_id,record_type,model,scenario,scenario_family,geography,geography_code,region_level,year,metric,technology,technology_detail,scope,value,unit,source_value,source_unit,source_variable,upstream_status,source_vintage,source_file
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2004,installed_capacity,marine_energy,Marine energy,on_grid_plus_off_grid,0.24325,GW,243.25,MW,Marine energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2004,installed_capacity,nonrenewables_total,Total non-renewable energy,on_grid_plus_off_grid,3004.49157,GW,3004491.57,MW,Total non-renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2004,installed_capacity,nuclear,Nuclear energy,on_grid_plus_off_grid,373.8045,GW,373804.5,MW,Nuclear energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2004,installed_capacity,other_nonrenewable,Other non-renewable energy,on_grid_plus_off_grid,3.91059,GW,3910.59,MW,Other non-renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2004,installed_capacity,other_nonrenewable_nec,Other non-renewable energy n.e.s.,on_grid_plus_off_grid,0.57645,GW,576.45,MW,Other non-renewable energy n.e.s.,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2004,installed_capacity,pumped_hydro_storage,Pumped hydro,on_grid_plus_off_grid,80.42355,GW,80423.55,MW,Pumped hydro,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2004,installed_capacity,renewables_total,Total renewable energy,on_grid_plus_off_grid,869.20348,GW,869203.48,MW,Total renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2004,installed_capacity,solar,Solar energy,on_grid_plus_off_grid,3.42694,GW,3426.94,MW,Solar energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2004,installed_capacity,wind,Wind energy,on_grid_plus_off_grid,47.65947,GW,47659.47,MW,Wind energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2005,installed_capacity,bioenergy,Bioenergy,on_grid_plus_off_grid,45.43647,GW,45436.47,MW,Bioenergy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2005,installed_capacity,fossil_fuels_total,Fossil fuels,on_grid_plus_off_grid,2719.57977,GW,2719579.77,MW,Fossil fuels,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2005,installed_capacity,geothermal,Geothermal energy,on_grid_plus_off_grid,8.55582,GW,8555.82,MW,Geothermal energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2005,installed_capacity,hydropower,Renewable hydropower,on_grid_plus_off_grid,790.72324,GW,790723.24,MW,Renewable hydropower,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2005,installed_capacity,marine_energy,Marine energy,on_grid_plus_off_grid,0.24125,GW,241.25,MW,Marine energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2005,installed_capacity,nonrenewables_total,Total non-renewable energy,on_grid_plus_off_grid,3105.9727,GW,3105972.7,MW,Total non-renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2005,installed_capacity,nuclear,Nuclear energy,on_grid_plus_off_grid,377.9735,GW,377973.5,MW,Nuclear energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2005,installed_capacity,other_nonrenewable,Other non-renewable energy,on_grid_plus_off_grid,4.58255,GW,4582.55,MW,Other non-renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2005,installed_capacity,other_nonrenewable_nec,Other non-renewable energy n.e.s.,on_grid_plus_off_grid,1.02745,GW,1027.45,MW,Other non-renewable energy n.e.s.,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2005,installed_capacity,pumped_hydro_storage,Pumped hydro,on_grid_plus_off_grid,83.26655,GW,83266.55,MW,Pumped hydro,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2005,installed_capacity,renewables_total,Total renewable energy,on_grid_plus_off_grid,908.34244,GW,908342.44,MW,Total renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2005,installed_capacity,solar,Solar energy,on_grid_plus_off_grid,4.92335,GW,4923.35,MW,Solar energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2005,installed_capacity,wind,Wind energy,on_grid_plus_off_grid,58.4623,GW,58462.3,MW,Wind energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2006,installed_capacity,bioenergy,Bioenergy,on_grid_plus_off_grid,49.71057,GW,49710.57,MW,Bioenergy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2006,installed_capacity,fossil_fuels_total,Fossil fuels,on_grid_plus_off_grid,2853.89948,GW,2853899.48,MW,Fossil fuels,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2006,installed_capacity,geothermal,Geothermal energy,on_grid_plus_off_grid,8.75872,GW,8758.72,MW,Geothermal energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2006,installed_capacity,hydropower,Renewable hydropower,on_grid_plus_off_grid,811.45232,GW,811452.32,MW,Renewable hydropower,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2006,installed_capacity,marine_energy,Marine energy,on_grid_plus_off_grid,0.24025,GW,240.25,MW,Marine energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2006,installed_capacity,nonrenewables_total,Total non-renewable energy,on_grid_plus_off_grid,3241.46538,GW,3241465.38,MW,Total non-renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2006,installed_capacity,nuclear,Nuclear energy,on_grid_plus_off_grid,378.5985,GW,378598.5,MW,Nuclear energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2006,installed_capacity,other_nonrenewable,Other non-renewable energy,on_grid_plus_off_grid,4.7958,GW,4795.8,MW,Other non-renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2006,installed_capacity,other_nonrenewable_nec,Other non-renewable energy n.e.s.,on_grid_plus_off_grid,1.20645,GW,1206.45,MW,Other non-renewable energy n.e.s.,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2006,installed_capacity,pumped_hydro_storage,Pumped hydro,on_grid_plus_off_grid,85.96055,GW,85960.55,MW,Pumped hydro,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2006,installed_capacity,renewables_total,Total renewable energy,on_grid_plus_off_grid,949.79092,GW,949790.92,MW,Total renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
